id,documentId,date,description,merchant,amount,category,confidence,createdAt,updatedAt
000b7973-5cca-41e6-9109-95126d1ed8eb,089d8a78-581d-420e-b5ad-f74448c36a0b,2024-10-20 00:00:00,WALMART SUPERCENTRE #1399,Walmart,-16.52,Shopping,0.977,2024-10-31 00:00:00,2024-10-31 00:00:00
00ae0d3f-e85a-4768-89ec-b4616fcddc34,f3baee5c-d588-4cf8-b1ef-369e1fecd5be,2025-08-16 00:00:00,GREEN P PARKING,Green P Parking,-9.08,Transport,0.948,2025-08-31 00:00:00,2025-08-31 00:00:00
00c78490-2341-4c28-a8a2-9a42a508752a,f3baee5c-d588-4cf8-b1ef-369e1fecd5be,2025-08-21 00:00:00,NO FRILLS #4382 TORONTO,No Frills,-86.3,Groceries,0.936,2025-08-31 00:00:00,2025-08-31 00:00:00
015f0602-72b9-431d-b4cd-2c7379773531,ae34486d-f484-4c41-92e5-90e46f07b473,2025-03-05 00:00:00,APPLE,Apple,-17.48,Entertainment,0.975,2025-03-30 00:00:00,2025-03-30 00:00:00
016041be-1002-4309-9cb3-60e678f30862,2d95c4a6-c659-4a1b-a075-d1a0fb284fe6,2025-04-20 00:00:00,NETFLIX.COM,Netflix,-18.99,Entertainment,0.952,2025-04-30 00:00:00,2025-04-30 00:00:00
016b0c0c-0722-4e6d-8264-10a0cd05e2c2,7d7f7ec7-ca05-4a30-b84f-c7ae33497194,2024-06-22 00:00:00,MCDONALDS #4189 NORTH YORK ON,McDonald's,-17,Dining,0.934,2024-06-29 00:00:00,2024-06-29 00:00:00
017970a2-fe67-42dd-bb8f-3feef6cdb8a9,8cd66081-f737-4ec1-86da-4b5ca1673437,2026-02-15 00:00:00,SUBWAY,Subway,-12.04,Dining,0.987,2026-02-27 00:00:00,2026-02-27 00:00:00
017af82c-ffe7-4622-a6e3-d2caf9e5b44f,ae34486d-f484-4c41-92e5-90e46f07b473,2025-03-05 00:00:00,ROGERS MOBILE,Rogers,-76.9,Bills,0.907,2025-03-30 00:00:00,2025-03-30 00:00:00
0190ea98-3ab7-448f-9734-c43739f77356,ae34486d-f484-4c41-92e5-90e46f07b473,2025-03-30 00:00:00,PRESTO TTC LOAD,TTC,-5.07,Transport,0.924,2025-03-30 00:00:00,2025-03-30 00:00:00
01eda9cc-4eab-4c6e-ad1d-86bfb1dffec7,089d8a78-581d-420e-b5ad-f74448c36a0b,2024-10-18 00:00:00,TD INSURANCE,Tenant Insurance,-25.73,Bills,0.926,2024-10-31 00:00:00,2024-10-31 00:00:00
021c7ffb-a29b-4057-9e9a-a7e6d07428ce,7033ff9c-4e5f-4a24-b73a-302793bb9b30,2025-11-18 00:00:00,PRESTO TTC LOAD,TTC,-8.95,Transport,0.952,2025-11-29 00:00:00,2025-11-29 00:00:00
0247abe2-3387-40bc-a60f-f6fed9b8e1b5,115fbc06-58c9-4a1b-bd5e-06870f62daee,2024-12-12 00:00:00,UBER* TRIP HELP.UBER.COM,Uber,-39.43,Transport,0.924,2024-12-30 00:00:00,2024-12-30 00:00:00
025da80b-d4d4-4e7e-abf5-9ebfb4bb5ed1,af9382d1-9367-458f-971e-6a2faf63fcbf,2025-06-09 00:00:00,GOODLIFE FITNESS,GoodLife Fitness,-39.99,Fitness,0.915,2025-06-29 00:00:00,2025-06-29 00:00:00
0281c32d-ef51-46f9-a0b5-14e9d65bf375,d8c63caf-eb0a-488f-b88e-d7e53663d5be,2025-04-10 00:00:00,WALMART SUPERCENTRE #9934,Walmart,-53.43,Shopping,0.96,2025-04-29 00:00:00,2025-04-29 00:00:00
02926dd4-9767-4a2a-937d-92f4bbec6a12,2d95c4a6-c659-4a1b-a075-d1a0fb284fe6,2025-04-21 00:00:00,SUBWAY,Subway,-14.66,Dining,0.958,2025-04-30 00:00:00,2025-04-30 00:00:00
02a3a0da-00ac-48df-8065-45589632d671,645f4279-7777-4dab-bb21-3125d103542f,2025-09-30 00:00:00,DIRECT DEP FREELANCE,Freelance,299.43,Income,0.898,2025-09-30 00:00:00,2025-09-30 00:00:00
02d49ea2-c8c6-496e-9b4b-29993d13c8e3,af9382d1-9367-458f-971e-6a2faf63fcbf,2025-06-13 00:00:00,PRESTO TTC LOAD,TTC,-3.65,Transport,0.965,2025-06-29 00:00:00,2025-06-29 00:00:00
0300b210-bd3a-4fdf-abbf-0ac47e203fb9,af9382d1-9367-458f-971e-6a2faf63fcbf,2025-06-19 00:00:00,SUBWAY,Subway,-11.24,Dining,0.919,2025-06-29 00:00:00,2025-06-29 00:00:00
0307b1e5-40b0-4b92-a6e6-3f11ca213c17,d80232bb-b628-417e-b717-2075b53ddaca,2024-11-03 00:00:00,LOBLAWS #8775 TORONTO,Loblaws,-78.03,Groceries,0.957,2024-11-29 00:00:00,2024-11-29 00:00:00
0315346a-cc62-4c5d-9837-b3f859871405,68033aa0-4ba6-4ef2-81dc-805e7521f692,2025-05-25 00:00:00,TICKETMASTER,Ticketmaster,-150.27,Entertainment,0.937,2025-05-31 00:00:00,2025-05-31 00:00:00
0340874e-28f8-4d9e-a2e9-f9487346ee7b,68033aa0-4ba6-4ef2-81dc-805e7521f692,2025-05-24 00:00:00,UBER* TRIP HELP.UBER.COM,Uber,-31.32,Transport,0.932,2025-05-31 00:00:00,2025-05-31 00:00:00
034530ae-7abe-4a82-a48b-7f6b9b09937b,b69390c6-26f7-46c8-8ccf-43e2dbe31f34,2024-07-24 00:00:00,FRESHCO,FreshCo,-77.78,Groceries,0.945,2024-07-30 00:00:00,2024-07-30 00:00:00
034d648c-fc2d-4b93-b928-aa8557305872,68033aa0-4ba6-4ef2-81dc-805e7521f692,2025-05-27 00:00:00,ESSO,Esso,-81.3,Transport,0.96,2025-05-31 00:00:00,2025-05-31 00:00:00
03f82401-6cbc-466e-acfe-1f765dc4398f,f9271113-0a76-4fff-8227-38144e20fee3,2025-08-09 00:00:00,TICKETMASTER,Ticketmaster,-56.26,Entertainment,0.915,2025-08-30 00:00:00,2025-08-30 00:00:00
04021703-674f-4414-bb42-e4afb4b8f9d8,77198e37-6441-470b-8395-d0dabe2ca261,2024-10-05 00:00:00,CANADIAN TIRE,Canadian Tire,-44.39,Shopping,0.915,2024-10-30 00:00:00,2024-10-30 00:00:00
04261314-2b30-4b0b-b5d8-c0831a05f627,7033ff9c-4e5f-4a24-b73a-302793bb9b30,2025-11-03 00:00:00,AMZN MKTP CA*3994,Amazon,-39.13,Shopping,0.903,2025-11-29 00:00:00,2025-11-29 00:00:00
0453472b-44c7-42be-bf9b-3b75a7c4fb57,6fb82bac-530b-42ab-a976-29ebc1ceadd5,2026-04-14 00:00:00,COSTCO WHOLESALE #707,Costco,-160.4,Groceries,0.987,2026-04-29 00:00:00,2026-04-29 00:00:00
045ba022-726f-4b3c-82dd-97ea747c3cfc,7033ff9c-4e5f-4a24-b73a-302793bb9b30,2025-11-09 00:00:00,GOODLIFE FITNESS,GoodLife Fitness,-39.99,Fitness,0.929,2025-11-29 00:00:00,2025-11-29 00:00:00
0463172e-2bcd-4b0c-b463-25b717b39127,af9382d1-9367-458f-971e-6a2faf63fcbf,2025-06-02 00:00:00,DOLLARAMA,Dollarama,-16.33,Shopping,0.959,2025-06-29 00:00:00,2025-06-29 00:00:00
047e416c-ac04-40fb-8316-9dc4547bf980,ae34486d-f484-4c41-92e5-90e46f07b473,2025-03-10 00:00:00,UBER* TRIP HELP.UBER.COM,Uber,-25.38,Transport,0.949,2025-03-30 00:00:00,2025-03-30 00:00:00
